id,conversation_id,created_at,date,timezone,place,tweet,language,hashtags,cashtags,user_id,user_id_str,username,name,day,hour,link,urls,photos,video,thumbnail,retweet,nlikes,nreplies,nretweets,quote_url,search,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest,political_party
1380962165507641354,1380962165507641354,1618082011000.0,2021-04-10 14:13:31,-500,,#RafaelPresidente2021 #JorgeMontoyaAlCongreso2021 Viva el Perú 🇵🇪 #GanamosEnPrimeraVuelta  https://t.co/Q6FmGeEii9,es,"['rafaelpresidente2021', 'jorgemontoyaalcongreso2021', 'ganamosenprimeravuelta']",[],1376956609,1376956609,Alm_Montoya,Jorge Montoya 🇵🇪,6,14,https://twitter.com/Alm_Montoya/status/1380962165507641354,[],['https://pbs.twimg.com/media/EyopxP6WQAcpAom.jpg'],1,https://pbs.twimg.com/media/EyopxP6WQAcpAom.jpg,False,2389,159,774,,None,,,,,,,[],,,,,renovacion_popular
1380903349000753156,1380903349000753156,1618067989000.0,2021-04-10 10:19:49,-500,,#SiSePuede #GanamosEnPrimeraVuelta #11DeAbril #VotaXJorgeMontoya #R1 y ¡Marca ❌ (R) #RenovaciónPopular - escribe ✍️ el Nro. 1  https://t.co/oAXGeFMQBE,es,"['sisepuede', 'ganamosenprimeravuelta', '11deabril', 'votaxjorgemontoya', 'r1', 'renovaciónpopular']",[],1376956609,1376956609,Alm_Montoya,Jorge Montoya 🇵🇪,6,10,https://twitter.com/Alm_Montoya/status/1380903349000753156,[],[],1,https://pbs.twimg.com/ext_tw_video_thumb/1380903219912708098/pu/img/2gdcbHQCaOFjRaLb.jpg,False,529,26,195,,None,,,,,,,[],,,,,renovacion_popular
1380887912582090753,1380887912582090753,1618064308000.0,2021-04-10 09:18:28,-500,,Viva el Perú ! 🇵🇪  https://t.co/kgHXxS7Fo7,es,[],[],1376956609,1376956609,Alm_Montoya,Jorge Montoya 🇵🇪,6,9,https://twitter.com/Alm_Montoya/status/1380887912582090753,[],['https://pbs.twimg.com/media/EynmO45XIAEHmbE.jpg'],1,https://pbs.twimg.com/media/EynmO45XIAEHmbE.jpg,False,1382,87,461,,None,,,,,,,[],,,,,renovacion_popular
1380627648603389953,1380627648603389953,1618002256000.0,2021-04-09 16:04:16,-500,,Los jóvenes son la promesa del futuro.  Viva el Perú 🇵🇪 #GanamosEnPrimeraVuelta #11DeAbril #VotaXJorgeMontoya #R1 y ¡Marca ❌ (R) #RenovaciónPopular - escribe ✍️ el Nro. 1  https://t.co/iap5E5Kq3L,es,"['ganamosenprimeravuelta', '11deabril', 'votaxjorgemontoya', 'r1', 'renovaciónpopular']",[],1376956609,1376956609,Alm_Montoya,Jorge Montoya 🇵🇪,5,16,https://twitter.com/Alm_Montoya/status/1380627648603389953,[],[],1,https://pbs.twimg.com/ext_tw_video_thumb/1380627595507666946/pu/img/Up-BWYSh3DWt431B.jpg,False,534,21,185,,None,,,,,,,[],,,,,renovacion_popular
1379802946398003205,1379802946398003205,1617805632000.0,2021-04-07 09:27:12,-500,,"Este 11 de abril, votemos por el futuro de nuestros hijos. Almirante Jorge Montoya Manrique - Congresista. #GanamosEnPrimeraVuelta #11DeAbril #VotaXJorgeMontoya #R1 y ¡Marca ❌ (R) #RenovaciónPopular - escribe ✍️ el Nro. 1  https://t.co/Xg9HDLWrMw",es,"['ganamosenprimeravuelta', '11deabril', 'votaxjorgemontoya', 'r1', 'renovaciónpopular']",[],1376956609,1376956609,Alm_Montoya,Jorge Montoya 🇵🇪,3,9,https://twitter.com/Alm_Montoya/status/1379802946398003205,[],['https://pbs.twimg.com/media/EyYLdvBXIAIEd1r.jpg'],1,https://pbs.twimg.com/media/EyYLdvBXIAIEd1r.jpg,False,640,34,196,,None,,,,,,,[],,,,,renovacion_popular
1379623885176442881,1379623885176442881,1617762941000.0,2021-04-06 21:35:41,-500,,Acompáñenme en esta entrevista. #GanamosEnPrimeraVuelta #11DeAbril #VotaXJorgeMontoya #R1 y ¡Marca ❌ (R) #RenovaciónPopular - escribe ✍️ el Nro. 1,es,"['ganamosenprimeravuelta', '11deabril', 'votaxjorgemontoya', 'r1', 'renovaciónpopular']",[],1376956609,1376956609,Alm_Montoya,Jorge Montoya 🇵🇪,2,21,https://twitter.com/Alm_Montoya/status/1379623885176442881,[],[],0,,False,411,13,100,https://twitter.com/willaxtv/status/1379622820557291528,None,,,,,,,[],,,,,renovacion_popular
1379569109948641280,1379569109948641280,1617749881000.0,2021-04-06 17:58:01,-500,,Vamos a ganar en primera vuelta. Acompáñanos en ser parte de este gran cambio. El Perú nos necesita. #GanamosEnPrimeraVuelta #11DeAbril #VotaXJorgeMontoya #R1 y ¡Marca ❌ (R) #RenovaciónPopular - escribe ✍️ el Nro. 1  https://t.co/TjsTaDUjeQ,es,"['ganamosenprimeravuelta', '11deabril', 'votaxjorgemontoya', 'r1', 'renovaciónpopular']",[],1376956609,1376956609,Alm_Montoya,Jorge Montoya 🇵🇪,2,17,https://twitter.com/Alm_Montoya/status/1379569109948641280,[],[],1,https://pbs.twimg.com/ext_tw_video_thumb/1379569063207272452/pu/img/SlhDSbetgNFEy-I8.jpg,False,828,42,292,,None,,,,,,,[],,,,,renovacion_popular
1379432711044038659,1379432711044038659,1617717361000.0,2021-04-06 08:56:01,-500,,#GanamosEnPrimeraVuelta #11DeAbril #VotaXJorgeMontoya #R1 y ¡Marca ❌ (R) #RenovaciónPopular - escribe ✍️ el Nro. 1  https://t.co/lVPwSNoDCa,es,"['ganamosenprimeravuelta', '11deabril', 'votaxjorgemontoya', 'r1', 'renovaciónpopular']",[],1376956609,1376956609,Alm_Montoya,Jorge Montoya 🇵🇪,2,8,https://twitter.com/Alm_Montoya/status/1379432711044038659,[],['https://pbs.twimg.com/media/EyS6u-QUUAcoMu6.jpg'],1,https://pbs.twimg.com/media/EyS6u-QUUAcoMu6.jpg,False,563,25,171,,None,,,,,,,[],,,,,renovacion_popular
1378858041173549057,1378858041173549057,1617580349000.0,2021-04-04 18:52:29,-500,,Fuerzas armadas y PNP nuestro compromiso sigue firme juntos podemos lograr.  #GanaRenovaciónPopular #11DeAbril #VotaXJorgeMontoya #RenovaciónPopular #JorgeMontoya #AlmiranteJorgeMontoya #RafaelLopezAliaga  https://t.co/lPeGqRlAp6,es,"['ganarenovaciónpopular', '11deabril', 'votaxjorgemontoya', 'renovaciónpopular', 'jorgemontoya', 'almirantejorgemontoya', 'rafaellopezaliaga']",[],1376956609,1376956609,Alm_Montoya,Jorge Montoya 🇵🇪,7,18,https://twitter.com/Alm_Montoya/status/1378858041173549057,[],[],1,https://pbs.twimg.com/ext_tw_video_thumb/1378857952048734209/pu/img/oEXvKS9Y-SlzDq8e.jpg,False,573,26,192,,None,,,,,,,[],,,,,renovacion_popular
1378726280091340806,1378726280091340806,1617548935000.0,2021-04-04 10:08:55,-500,,Las mujeres del Perú no tendrán desigualdad de salarios entre los hombres tendrán igualdad de derechos.   #GanaRenovaciónPopular #11DeAbril #VotaXJorgeMontoya #RenovaciónPopular #JorgeMontoya #AlmiranteJorgeMontoya #RafaelLopezAliaga  https://t.co/yFvQdD7aKK,es,"['ganarenovaciónpopular', '11deabril', 'votaxjorgemontoya', 'renovaciónpopular', 'jorgemontoya', 'almirantejorgemontoya', 'rafaellopezaliaga']",[],1376956609,1376956609,Alm_Montoya,Jorge Montoya 🇵🇪,7,10,https://twitter.com/Alm_Montoya/status/1378726280091340806,[],[],1,https://pbs.twimg.com/ext_tw_video_thumb/1378726214383374340/pu/img/WJQ9k7heQopefCzz.jpg,False,365,14,118,,None,,,,,,,[],,,,,renovacion_popular
